timestamp,equipment_id,temperature,arc_voltage,current,pressure,slag_height,vibration
2024-06-01 00:00:00,LF-002,1626.32,243.75,34412.35,0.53,17.45,2.0
2024-06-01 00:15:00,LF-002,1574.9,241.53,37907.22,0.39,17.08,1.89
2024-06-01 00:30:00,LF-002,1602.57,235.95,35126.62,0.43,15.57,2.44
2024-06-01 00:45:00,LF-002,1689.78,275.08,42137.53,0.76,13.88,2.43
2024-06-01 01:00:00,LF-002,1305.3,272.81,34786.32,0.49,14.98,1.84
2024-06-01 01:15:00,LF-002,1662.4,255.1,34824.15,0.43,15.91,1.67
2024-06-01 01:30:00,LF-002,1546.4,240.82,36216.12,0.52,14.18,2.33
2024-06-01 01:45:00,LF-002,1651.46,246.48,31879.11,0.45,11.57,2.12
2024-06-01 02:00:00,LF-002,1596.87,243.48,38646.62,0.57,15.65,1.71
2024-06-01 02:15:00,LF-002,1598.66,224.43,32762.7,0.47,16.79,2.99
2024-06-01 02:30:00,LF-002,1642.29,247.81,37365.61,0.47,3.25,1.56
2024-06-01 02:45:00,LF-002,1611.54,233.52,33782.18,0.5,14.95,2.41
2024-06-01 03:00:00,LF-002,1702.96,264.54,35430.57,0.56,13.42,1.77
2024-06-01 03:15:00,LF-002,1499.6,244.73,35517.19,0.45,18.71,2.0
2024-06-01 03:30:00,LF-002,1564.56,264.76,33477.04,0.49,13.29,1.51
2024-06-01 03:45:00,LF-002,2045.74,241.07,34556.95,0.49,11.59,2.21
2024-06-01 04:00:00,LF-002,1679.25,248.17,35236.47,0.59,13.7,1.96
2024-06-01 04:15:00,LF-002,1555.2,254.22,33432.04,0.53,15.73,1.56
2024-06-01 04:30:00,LF-002,1773.25,255.38,44397.2,0.45,15.63,1.73
2024-06-01 04:45:00,LF-002,1603.42,261.36,32285.67,0.43,15.98,2.53
2024-06-01 05:00:00,LF-002,1494.78,262.3,32691.95,0.43,18.51,1.37
2024-06-01 05:15:00,LF-002,1633.87,257.38,43846.97,0.58,14.24,2.29
2024-06-01 05:30:00,LF-002,1658.79,246.49,34668.26,0.46,17.18,2.44
2024-06-01 05:45:00,LF-002,1538.13,287.45,32973.07,0.53,15.25,2.11
2024-06-01 06:00:00,LF-002,1601.49,249.02,34634.26,0.5,16.47,2.39
2024-06-01 06:15:00,LF-002,1601.95,243.99,35567.89,0.46,14.54,1.95
2024-06-01 06:30:00,LF-002,1475.53,257.17,39478.7,0.55,13.61,2.57
2024-06-01 06:45:00,LF-002,1507.3,253.77,31097.48,0.51,11.47,2.24
2024-06-01 07:00:00,LF-002,1501.2,240.61,29893.22,0.52,16.26,1.63
2024-06-01 07:15:00,LF-002,1541.13,251.84,33562.66,0.51,17.24,2.2
2024-06-01 07:30:00,LF-002,1769.39,262.81,33548.49,0.49,13.13,2.2
2024-06-01 07:45:00,LF-002,1529.29,244.98,34386.11,0.26,12.01,2.04
2024-06-01 08:00:00,LF-002,1713.11,246.86,35494.89,0.54,20.33,1.65
2024-06-01 08:15:00,LF-002,1379.05,279.13,34921.49,0.47,3.91,1.85
2024-06-01 08:30:00,LF-002,1442.72,282.25,33267.84,0.56,18.11,1.66
2024-06-01 08:45:00,LF-002,1487.38,252.71,33356.67,0.41,13.72,1.61
2024-06-01 09:00:00,LF-002,1878.78,234.95,24739.3,0.81,14.52,2.17
2024-06-01 09:15:00,LF-002,1607.93,239.09,32311.57,0.54,14.01,1.8
2024-06-01 09:30:00,LF-002,1629.09,242.79,28158.16,0.49,14.84,1.83
2024-06-01 09:45:00,LF-002,1428.11,258.21,33675.93,0.39,12.54,1.9
2024-06-01 10:00:00,LF-002,1576.29,240.14,36432.55,0.5,13.67,2.28
2024-06-01 10:15:00,LF-002,1576.25,254.3,34634.17,0.48,13.02,2.13
2024-06-01 10:30:00,LF-002,1554.77,214.46,36114.0,0.57,11.3,1.86
2024-06-01 10:45:00,LF-002,1468.2,252.7,34443.25,0.46,13.71,1.74
2024-06-01 11:00:00,LF-002,1549.16,224.15,35674.32,0.52,17.47,1.41
2024-06-01 11:15:00,LF-002,1544.31,227.97,33602.98,0.55,16.13,2.88
2024-06-01 11:30:00,LF-002,1574.21,259.23,35194.16,0.53,13.49,2.06
2024-06-01 11:45:00,LF-002,1620.94,246.45,32703.35,0.55,16.41,2.13
2024-06-01 12:00:00,LF-002,1579.87,276.91,34218.61,0.45,14.87,2.35
2024-06-01 12:15:00,LF-002,1548.35,254.97,33588.86,0.54,14.0,2.04
2024-06-01 12:30:00,LF-002,1619.56,250.63,35450.43,0.47,18.09,1.86
2024-06-01 12:45:00,LF-002,1471.55,262.64,33515.59,0.54,12.47,2.19
2024-06-01 13:00:00,LF-002,1526.66,253.98,32463.32,0.57,16.7,0.77
2024-06-01 13:15:00,LF-002,1594.83,236.5,34530.24,0.51,13.52,1.49
2024-06-01 13:30:00,LF-002,1517.22,266.57,36416.22,0.28,14.25,1.94
2024-06-01 13:45:00,LF-002,1627.82,239.31,34161.86,0.54,18.6,1.86
2024-06-01 14:00:00,LF-002,1643.68,260.43,38338.28,0.53,14.86,1.58
2024-06-01 14:15:00,LF-002,1648.8,261.15,35654.96,0.54,14.66,1.91
2024-06-01 14:30:00,LF-002,1692.83,241.58,33104.09,0.5,14.15,2.74
2024-06-01 14:45:00,LF-002,1528.57,266.31,35168.31,0.35,17.41,2.09
2024-06-01 15:00:00,LF-002,1516.52,269.64,35495.27,0.52,16.6,1.42
2024-06-01 15:15:00,LF-002,1581.79,243.88,36171.54,0.56,17.13,2.12
2024-06-01 15:30:00,LF-002,1559.69,260.51,33801.53,0.51,17.63,2.56
2024-06-01 15:45:00,LF-002,1500.2,233.29,36615.11,0.56,16.92,2.15
2024-06-01 16:00:00,LF-002,1567.76,176.72,33916.15,0.3,16.26,1.78
2024-06-01 16:15:00,LF-002,1442.08,261.74,33123.62,0.55,17.77,2.54
2024-06-01 16:30:00,LF-002,1483.06,261.48,35894.17,0.5,15.81,4.27
2024-06-01 16:45:00,LF-002,1529.06,241.23,33596.77,0.58,15.79,2.53
2024-06-01 17:00:00,LF-002,1497.68,243.2,35650.06,0.7,14.92,1.44
2024-06-01 17:15:00,LF-002,1619.54,286.63,36296.8,0.52,15.23,1.64
2024-06-01 17:30:00,LF-002,1410.25,242.46,36427.2,0.5,13.38,-0.05
2024-06-01 17:45:00,LF-002,1539.38,252.0,38639.1,0.51,12.56,1.04
2024-06-01 18:00:00,LF-002,1617.56,177.93,35822.56,0.49,15.52,1.95
2024-06-01 18:15:00,LF-002,1618.21,209.97,34785.02,0.52,14.18,2.1
2024-06-01 18:30:00,LF-002,1451.56,256.97,35647.69,0.5,13.18,2.31
2024-06-01 18:45:00,LF-002,1444.3,253.99,46823.73,0.47,11.35,1.74
2024-06-01 19:00:00,LF-002,1603.46,252.99,36166.37,0.5,12.82,1.69
2024-06-01 19:15:00,LF-002,1589.68,265.03,35664.16,0.46,12.1,1.73
2024-06-01 19:30:00,LF-002,1476.16,263.58,37573.84,0.53,12.85,1.93
2024-06-01 19:45:00,LF-002,1560.56,249.2,36197.09,0.46,14.22,2.45
2024-06-01 20:00:00,LF-002,1749.7,350.68,31290.14,0.43,10.17,2.17
2024-06-01 20:15:00,LF-002,1561.44,259.52,36091.87,0.51,15.41,2.04
2024-06-01 20:30:00,LF-002,1683.93,239.85,39374.84,0.44,16.63,1.73
2024-06-01 20:45:00,LF-002,1606.58,244.97,36482.66,0.63,15.17,2.05
2024-06-01 21:00:00,LF-002,1858.01,285.19,34623.47,0.47,13.85,1.66
2024-06-01 21:15:00,LF-002,1619.94,249.54,33057.68,0.47,14.68,2.1
2024-06-01 21:30:00,LF-002,1415.68,235.48,37806.74,0.52,16.81,1.96
2024-06-01 21:45:00,LF-002,1664.17,270.65,36643.69,0.41,13.57,2.44
2024-06-01 22:00:00,LF-002,1490.85,217.82,26833.4,0.52,14.66,1.69
2024-06-01 22:15:00,LF-002,1696.04,239.79,37370.82,0.56,16.88,2.12
2024-06-01 22:30:00,LF-002,1569.81,263.75,34556.61,0.5,17.12,2.16
2024-06-01 22:45:00,LF-002,1597.63,311.15,25245.39,0.59,17.79,1.89
2024-06-01 23:00:00,LF-002,1500.39,274.07,34891.05,0.49,11.8,2.76
2024-06-01 23:15:00,LF-002,1609.05,244.45,33741.33,0.48,13.77,2.61
2024-06-01 23:30:00,LF-002,1499.02,240.15,35100.34,0.43,15.33,2.31
2024-06-01 23:45:00,LF-002,1598.01,246.41,32245.03,0.52,14.46,1.98
2024-06-02 00:00:00,LF-002,1560.92,268.62,44694.77,0.5,11.27,3.64
2024-06-02 00:15:00,LF-002,1653.98,263.29,33389.93,0.54,15.06,2.05
2024-06-02 00:30:00,LF-002,1443.29,246.09,33251.03,0.48,15.97,2.18
2024-06-02 00:45:00,LF-002,1567.12,248.02,34725.19,0.52,14.96,2.03
2024-06-02 01:00:00,LF-002,1595.17,244.41,36996.79,0.49,16.98,2.63
2024-06-02 01:15:00,LF-002,1487.65,231.22,35013.16,0.53,13.83,2.46
2024-06-02 01:30:00,LF-002,1505.2,269.34,32502.0,0.46,17.04,2.65
2024-06-02 01:45:00,LF-002,1670.89,252.25,35155.63,0.49,14.72,2.33
2024-06-02 02:00:00,LF-002,1605.53,250.1,37580.47,0.48,12.18,1.63
2024-06-02 02:15:00,LF-002,1596.51,255.15,34633.5,0.55,12.37,2.24
2024-06-02 02:30:00,LF-002,1613.18,288.9,36351.3,0.5,13.35,1.98
2024-06-02 02:45:00,LF-002,1574.79,273.2,33915.78,0.5,15.75,2.35
2024-06-02 03:00:00,LF-002,1576.9,247.34,35711.14,0.39,14.23,2.08
2024-06-02 03:15:00,LF-002,1509.47,321.19,32754.85,0.53,16.85,2.34
2024-06-02 03:30:00,LF-002,1183.56,240.46,39209.94,0.49,13.24,1.49
2024-06-02 03:45:00,LF-002,1526.12,232.74,39588.97,0.53,14.21,0.68
2024-06-02 04:00:00,LF-002,1541.49,244.83,37180.58,0.52,16.96,1.97
2024-06-02 04:15:00,LF-002,1484.02,247.47,31378.98,0.42,13.49,1.77
2024-06-02 04:30:00,LF-002,1565.57,260.34,36061.84,0.45,18.43,1.86
2024-06-02 04:45:00,LF-002,1565.19,261.93,25839.62,0.43,13.97,2.6
2024-06-02 05:00:00,LF-002,1472.09,233.18,33976.8,0.54,16.06,1.68
2024-06-02 05:15:00,LF-002,1514.06,270.25,33998.06,0.48,14.3,1.73
2024-06-02 05:30:00,LF-002,1518.97,242.98,36826.3,0.52,16.81,1.63
2024-06-02 05:45:00,LF-002,1629.41,261.43,35467.28,0.41,14.36,2.39
2024-06-02 06:00:00,LF-002,1634.41,255.62,39235.02,0.54,16.51,1.7
2024-06-02 06:15:00,LF-002,1634.06,223.42,36771.43,0.5,14.36,1.95
2024-06-02 06:30:00,LF-002,1700.52,253.79,31338.93,0.51,15.85,2.19
2024-06-02 06:45:00,LF-002,1559.18,261.91,31849.56,0.39,16.28,2.26
2024-06-02 07:00:00,LF-002,1523.6,258.06,32407.29,0.56,15.08,1.17
2024-06-02 07:15:00,LF-002,1602.99,257.12,33253.96,0.49,15.56,2.12
2024-06-02 07:30:00,LF-002,1446.38,247.25,35746.02,0.53,16.59,1.34
2024-06-02 07:45:00,LF-002,1590.62,256.14,34171.57,0.48,18.44,1.5
2024-06-02 08:00:00,LF-002,1556.25,255.88,35389.9,0.51,17.88,2.05
2024-06-02 08:15:00,LF-002,1552.98,343.55,37513.95,0.49,15.39,2.12
2024-06-02 08:30:00,LF-002,1520.03,244.28,37197.39,0.58,14.95,1.74
2024-06-02 08:45:00,LF-002,1676.45,239.71,36930.22,0.46,14.5,1.91
2024-06-02 09:00:00,LF-002,1569.05,221.54,35087.81,0.54,19.36,1.74
2024-06-02 09:15:00,LF-002,1248.73,260.22,40061.14,0.44,14.74,2.75
2024-06-02 09:30:00,LF-002,1566.27,235.76,38142.46,0.5,14.81,1.91
2024-06-02 09:45:00,LF-002,1676.79,269.86,35542.56,0.5,17.17,1.88
2024-06-02 10:00:00,LF-002,1619.38,253.64,34042.39,0.45,14.86,2.25
2024-06-02 10:15:00,LF-002,1537.5,247.32,34262.83,0.46,15.94,1.92
2024-06-02 10:30:00,LF-002,1574.91,274.21,34037.61,0.43,13.16,1.79
2024-06-02 10:45:00,LF-002,1593.05,260.03,35932.9,0.5,12.44,1.92
2024-06-02 11:00:00,LF-002,1671.84,259.75,35711.45,0.47,14.34,1.52
2024-06-02 11:15:00,LF-002,1589.9,246.42,32442.13,0.44,15.25,1.43
2024-06-02 11:30:00,LF-002,1569.58,241.97,32028.82,0.56,14.6,2.65
