timestamp,equipment_id,temperature,vibration,rpm,torque,oil_pressure,current
2024-06-01 00:00:00,RM-003,369.2,3.09,1396.22,7863.35,49.61,394.95
2024-06-01 00:15:00,RM-003,340.35,4.21,1161.84,8533.16,44.05,396.69
2024-06-01 00:30:00,RM-003,294.07,4.6,1148.89,8085.24,40.6,390.51
2024-06-01 00:45:00,RM-003,331.64,2.65,1225.56,6023.51,43.35,389.97
2024-06-01 01:00:00,RM-003,360.07,4.34,1233.61,8431.55,42.95,362.61
2024-06-01 01:15:00,RM-003,327.81,2.93,1168.14,5988.98,49.79,386.24
2024-06-01 01:30:00,RM-003,406.7,3.9,1168.83,8905.77,38.86,398.73
2024-06-01 01:45:00,RM-003,366.37,3.73,1201.57,8345.1,42.36,379.37
2024-06-01 02:00:00,RM-003,361.26,2.73,1113.45,8922.02,47.45,383.15
2024-06-01 02:15:00,RM-003,362.7,3.17,1222.91,8725.65,44.13,355.48
2024-06-01 02:30:00,RM-003,323.39,3.38,1154.35,8611.31,43.07,396.95
2024-06-01 02:45:00,RM-003,351.81,4.3,1174.16,8460.83,41.4,402.77
2024-06-01 03:00:00,RM-003,299.71,4.02,924.44,7842.43,43.43,392.97
2024-06-01 03:15:00,RM-003,296.31,4.69,1133.37,6183.69,45.93,388.64
2024-06-01 03:30:00,RM-003,343.21,4.21,1142.58,9390.14,47.72,356.59
2024-06-01 03:45:00,RM-003,468.13,3.29,1026.03,8554.09,47.79,397.72
2024-06-01 04:00:00,RM-003,225.78,3.0,1226.52,6865.82,47.76,415.14
2024-06-01 04:15:00,RM-003,321.2,3.45,1129.51,7338.96,59.25,326.35
2024-06-01 04:30:00,RM-003,349.97,4.17,1213.32,7918.34,48.56,382.1
2024-06-01 04:45:00,RM-003,336.67,8.57,1206.37,9196.63,43.94,386.61
2024-06-01 05:00:00,RM-003,308.75,5.18,1211.58,8516.79,44.48,368.38
2024-06-01 05:15:00,RM-003,340.09,4.45,1190.51,8590.84,45.8,407.99
2024-06-01 05:30:00,RM-003,325.49,4.01,1150.25,9415.01,46.76,362.84
2024-06-01 05:45:00,RM-003,332.42,3.32,1148.21,8348.11,45.68,361.92
2024-06-01 06:00:00,RM-003,339.46,3.38,1198.72,10546.1,41.23,409.05
2024-06-01 06:15:00,RM-003,403.74,3.42,1300.85,8667.45,46.35,382.27
2024-06-01 06:30:00,RM-003,368.29,3.21,1526.43,9023.21,45.49,360.58
2024-06-01 06:45:00,RM-003,374.66,2.75,1225.43,8826.0,48.95,395.17
2024-06-01 07:00:00,RM-003,361.62,4.33,1217.88,8352.94,50.12,363.48
2024-06-01 07:15:00,RM-003,351.29,4.13,1228.7,8020.24,47.49,368.9
2024-06-01 07:30:00,RM-003,373.88,4.7,1202.88,8650.35,45.62,355.59
2024-06-01 07:45:00,RM-003,343.14,3.89,1236.41,11273.18,43.63,509.02
2024-06-01 08:00:00,RM-003,311.91,4.33,1214.35,11102.33,42.49,351.48
2024-06-01 08:15:00,RM-003,346.84,4.9,1191.67,6959.78,25.86,402.93
2024-06-01 08:30:00,RM-003,347.69,3.87,1191.2,8562.02,46.84,388.82
2024-06-01 08:45:00,RM-003,406.75,4.14,1277.29,7891.35,48.76,369.11
