timestamp,equipment_id,temperature,vibration,rpm,torque,oil_pressure,current
2024-06-01 00:00:00,RM-001,333.83,3.83,1244.81,5373.49,32.44,353.42
2024-06-01 00:15:00,RM-001,202.09,4.61,1273.06,9252.63,46.04,380.06
2024-06-01 00:30:00,RM-001,362.21,5.31,1082.81,9174.06,47.81,375.16
2024-06-01 00:45:00,RM-001,403.68,3.85,1117.61,8000.67,41.99,356.92
2024-06-01 01:00:00,RM-001,335.58,4.1,1266.94,7738.57,32.91,424.52
2024-06-01 01:15:00,RM-001,339.13,6.81,1203.65,8211.25,49.13,337.91
2024-06-01 01:30:00,RM-001,342.48,4.07,1274.32,7999.88,40.54,383.6
2024-06-01 01:45:00,RM-001,248.37,3.43,1229.01,8146.25,46.98,324.18
2024-06-01 02:00:00,RM-001,332.24,-0.57,1192.05,8918.8,44.93,405.57
2024-06-01 02:15:00,RM-001,325.58,4.26,1114.66,8837.0,61.38,387.36
2024-06-01 02:30:00,RM-001,357.37,0.84,1127.23,8859.65,45.74,374.05
2024-06-01 02:45:00,RM-001,318.29,4.91,1251.33,8346.16,44.17,367.47
2024-06-01 03:00:00,RM-001,333.0,4.04,1261.84,9896.74,44.15,386.16
2024-06-01 03:15:00,RM-001,389.84,3.96,1203.54,9336.55,47.19,354.68
2024-06-01 03:30:00,RM-001,341.45,4.41,1125.6,8645.1,48.86,404.74
2024-06-01 03:45:00,RM-001,321.1,4.79,1286.49,8842.15,43.17,405.43
2024-06-01 04:00:00,RM-001,274.09,3.87,1302.71,8645.49,45.24,435.7
2024-06-01 04:15:00,RM-001,347.67,1.94,1259.38,8634.48,58.01,356.86
2024-06-01 04:30:00,RM-001,332.79,3.16,1232.15,8949.47,45.46,403.58
2024-06-01 04:45:00,RM-001,351.23,4.86,1229.87,8486.59,44.58,350.13
2024-06-01 05:00:00,RM-001,297.63,5.36,1099.12,8219.01,48.42,411.53
2024-06-01 05:15:00,RM-001,359.37,5.07,1283.98,8660.9,49.18,235.09
2024-06-01 05:30:00,RM-001,326.61,3.65,1293.99,8288.86,42.66,359.75
2024-06-01 05:45:00,RM-001,364.99,3.74,1267.99,8366.75,45.94,364.07
2024-06-01 06:00:00,RM-001,418.08,4.59,1122.15,7791.4,46.98,383.71
2024-06-01 06:15:00,RM-001,409.64,4.48,1260.26,8713.98,42.55,401.75
2024-06-01 06:30:00,RM-001,374.66,2.01,1183.82,8662.53,47.15,366.82
2024-06-01 06:45:00,RM-001,395.4,4.03,1198.23,8627.06,43.16,367.18
2024-06-01 07:00:00,RM-001,359.52,3.96,1126.35,8334.75,47.81,393.9
2024-06-01 07:15:00,RM-001,331.66,3.08,1109.25,8674.37,47.63,393.89
2024-06-01 07:30:00,RM-001,316.21,3.52,1108.72,8635.04,49.68,378.37
2024-06-01 07:45:00,RM-001,346.01,4.21,1182.11,6277.72,38.9,383.65
2024-06-01 08:00:00,RM-001,308.11,3.83,1101.64,7497.14,49.94,410.39
2024-06-01 08:15:00,RM-001,317.98,4.75,939.18,7756.3,33.76,439.93
2024-06-01 08:30:00,RM-001,373.55,5.41,1195.12,8985.48,44.63,381.45
2024-06-01 08:45:00,RM-001,346.62,4.76,1192.13,8681.98,41.9,356.24
2024-06-01 09:00:00,RM-001,330.12,1.72,1189.5,8858.76,43.09,363.06
2024-06-01 09:15:00,RM-001,350.61,3.88,1184.43,8338.95,47.0,360.98
2024-06-01 09:30:00,RM-001,325.08,4.64,1184.73,8257.88,39.77,366.01
2024-06-01 09:45:00,RM-001,289.89,3.5,1167.8,8288.87,43.42,402.28
2024-06-01 10:00:00,RM-001,336.26,3.56,1192.12,8901.03,43.12,432.48
2024-06-01 10:15:00,RM-001,337.93,3.01,1218.39,8614.96,44.78,394.86
2024-06-01 10:30:00,RM-001,204.52,2.76,1134.5,8076.24,37.56,396.8
2024-06-01 10:45:00,RM-001,340.58,9.34,1255.74,8486.63,43.02,398.27
2024-06-01 11:00:00,RM-001,387.22,4.22,1173.64,8496.36,43.0,399.69
2024-06-01 11:15:00,RM-001,391.96,4.43,1354.4,9047.99,43.62,347.51
2024-06-01 11:30:00,RM-001,352.51,3.9,1214.02,7748.13,44.69,370.45
2024-06-01 11:45:00,RM-001,397.56,5.51,1262.29,5787.92,42.83,371.03
2024-06-01 12:00:00,RM-001,364.28,5.41,1115.07,8728.13,49.51,365.84
2024-06-01 12:15:00,RM-001,351.05,3.99,1109.07,7874.1,47.73,365.23
2024-06-01 12:30:00,RM-001,375.89,3.98,1269.01,7935.2,44.94,368.84
2024-06-01 12:45:00,RM-001,354.47,3.82,1131.98,8388.75,46.61,357.05
2024-06-01 13:00:00,RM-001,352.34,3.11,1129.84,7827.24,50.86,403.41
2024-06-01 13:15:00,RM-001,347.3,3.67,1519.09,8254.98,49.31,397.44
2024-06-01 13:30:00,RM-001,334.0,3.75,1121.13,8191.73,43.44,412.08
2024-06-01 13:45:00,RM-001,333.74,2.23,1223.38,8882.4,49.56,358.29
2024-06-01 14:00:00,RM-001,310.1,2.18,1220.79,8564.84,45.0,365.95
2024-06-01 14:15:00,RM-001,312.19,3.95,1111.82,9168.02,46.05,413.69
2024-06-01 14:30:00,RM-001,329.0,4.67,1085.14,8729.12,46.11,380.37
2024-06-01 14:45:00,RM-001,394.72,3.38,1135.37,9113.51,43.33,383.44
2024-06-01 15:00:00,RM-001,339.3,5.4,1271.07,8371.7,51.51,365.08
2024-06-01 15:15:00,RM-001,323.33,3.78,1170.23,9300.66,45.85,387.51
2024-06-01 15:30:00,RM-001,359.97,3.32,1151.77,7846.42,51.53,421.11
2024-06-01 15:45:00,RM-001,365.16,2.86,1143.6,7370.91,45.61,391.36
2024-06-01 16:00:00,RM-001,331.56,4.08,1224.08,8308.04,38.4,409.75
2024-06-01 16:15:00,RM-001,389.15,2.39,1204.11,9310.13,42.16,382.71
2024-06-01 16:30:00,RM-001,336.66,3.4,1166.69,8947.76,43.32,353.86
2024-06-01 16:45:00,RM-001,371.36,4.04,1117.12,8199.91,41.9,482.64
2024-06-01 17:00:00,RM-001,334.75,2.88,1216.98,7830.89,44.99,392.07
2024-06-01 17:15:00,RM-001,219.77,3.58,1155.2,7423.51,43.32,346.78
2024-06-01 17:30:00,RM-001,353.54,4.02,1382.53,8389.74,42.07,330.38
2024-06-01 17:45:00,RM-001,339.36,3.03,1117.23,8155.05,44.47,389.54
2024-06-01 18:00:00,RM-001,379.33,4.52,1271.51,8760.53,47.84,391.5
2024-06-01 18:15:00,RM-001,345.27,4.75,1179.28,9000.67,45.45,381.0
2024-06-01 18:30:00,RM-001,345.48,3.19,1226.04,10588.92,43.08,430.27
2024-06-01 18:45:00,RM-001,369.88,3.84,1236.52,7952.16,45.05,388.87
2024-06-01 19:00:00,RM-001,397.92,3.9,1089.92,8624.29,47.44,386.68
2024-06-01 19:15:00,RM-001,369.52,4.28,1135.71,9129.2,44.5,392.33
2024-06-01 19:30:00,RM-001,365.83,3.76,1202.46,10936.03,39.11,294.04
2024-06-01 19:45:00,RM-001,339.38,3.42,1068.07,8464.95,41.63,381.47
2024-06-01 20:00:00,RM-001,345.59,3.15,1123.34,8025.11,60.42,374.37
2024-06-01 20:15:00,RM-001,321.53,4.67,1251.85,9074.62,43.68,369.61
2024-06-01 20:30:00,RM-001,326.2,-0.33,1372.5,8630.67,45.88,404.65
2024-06-01 20:45:00,RM-001,319.31,3.38,1212.77,8394.6,46.98,384.03
2024-06-01 21:00:00,RM-001,324.74,4.84,1256.6,8265.94,38.82,431.26
2024-06-01 21:15:00,RM-001,399.13,4.12,1268.1,8546.19,39.91,382.24
2024-06-01 21:30:00,RM-001,401.62,3.18,1263.75,7698.57,50.11,402.94
2024-06-01 21:45:00,RM-001,325.26,3.84,1191.92,7472.69,45.36,378.22
2024-06-01 22:00:00,RM-001,373.94,3.22,1109.44,5927.62,46.02,401.2
2024-06-01 22:15:00,RM-001,366.51,3.06,1147.01,8880.03,45.3,401.21
2024-06-01 22:30:00,RM-001,337.4,3.56,1175.35,8091.58,49.33,424.03
2024-06-01 22:45:00,RM-001,340.72,3.84,1231.24,8459.03,43.11,359.13
