timestamp,equipment_id,temperature,oxygen_flow,pressure,vibration,lance_position,current
2024-06-01 00:00:00,BOF-001,1607.97,646.37,1.67,3.18,1.59,440.38
2024-06-01 00:15:00,BOF-001,1590.29,602.2,1.82,3.69,1.57,471.09
2024-06-01 00:30:00,BOF-001,1700.42,639.86,1.99,3.57,1.44,424.63
2024-06-01 00:45:00,BOF-001,1632.89,607.06,1.94,3.98,1.65,449.86
2024-06-01 01:00:00,BOF-001,1531.69,574.44,1.79,3.2,1.51,434.41
2024-06-01 01:15:00,BOF-001,1857.39,611.7,1.86,3.55,1.53,454.6
2024-06-01 01:30:00,BOF-001,1663.84,608.04,2.01,2.89,1.43,479.11
2024-06-01 01:45:00,BOF-001,1480.22,614.98,1.8,3.12,1.43,423.71
2024-06-01 02:00:00,BOF-001,1623.32,602.48,1.64,3.35,1.65,485.2
2024-06-01 02:15:00,BOF-001,1176.35,585.62,1.68,2.7,1.51,443.82
2024-06-01 02:30:00,BOF-001,1662.12,634.38,1.98,3.04,1.52,567.07
2024-06-01 02:45:00,BOF-001,1628.17,598.1,1.64,2.23,1.45,428.28
2024-06-01 03:00:00,BOF-001,1589.26,607.07,1.49,3.74,1.94,405.49
2024-06-01 03:15:00,BOF-001,1825.8,570.62,1.74,3.76,1.5,430.94
2024-06-01 03:30:00,BOF-001,1678.4,567.57,1.78,2.27,1.5,469.33
2024-06-01 03:45:00,BOF-001,1523.76,575.81,1.97,3.69,1.67,418.17
2024-06-01 04:00:00,BOF-001,1658.14,567.46,1.51,3.58,1.51,465.9
2024-06-01 04:15:00,BOF-001,1534.9,535.25,1.87,3.19,1.39,414.14
2024-06-01 04:30:00,BOF-001,1582.35,581.22,2.03,3.19,1.55,408.01
2024-06-01 04:45:00,BOF-001,1658.54,795.55,1.64,3.34,1.46,432.01
2024-06-01 05:00:00,BOF-001,1693.14,587.35,1.82,2.21,1.4,299.89
2024-06-01 05:15:00,BOF-001,1448.15,562.16,1.37,4.38,1.43,486.81
2024-06-01 05:30:00,BOF-001,2265.46,621.29,1.97,1.7,1.61,478.3
2024-06-01 05:45:00,BOF-001,1597.29,596.47,1.96,2.12,1.92,433.72
2024-06-01 06:00:00,BOF-001,1632.03,588.76,1.8,3.64,1.4,480.58
2024-06-01 06:15:00,BOF-001,1772.68,563.96,1.53,3.55,1.51,453.72
2024-06-01 06:30:00,BOF-001,1786.92,600.22,2.9,4.02,1.47,413.91
2024-06-01 06:45:00,BOF-001,1600.44,601.03,1.75,3.06,1.4,441.05
2024-06-01 07:00:00,BOF-001,1735.06,609.17,1.24,2.45,1.59,430.68
2024-06-01 07:15:00,BOF-001,1662.7,602.22,1.96,3.04,1.46,467.73
2024-06-01 07:30:00,BOF-001,1862.36,595.73,2.03,3.51,1.37,420.24
2024-06-01 07:45:00,BOF-001,1596.13,600.05,2.07,2.58,1.86,438.64
2024-06-01 08:00:00,BOF-001,1781.98,596.7,1.54,2.36,1.58,460.65
2024-06-01 08:15:00,BOF-001,1603.18,555.74,1.42,3.02,1.55,444.64
2024-06-01 08:30:00,BOF-001,1564.11,801.99,1.72,2.57,1.57,472.77
2024-06-01 08:45:00,BOF-001,1625.73,618.04,1.9,2.9,1.56,456.01
2024-06-01 09:00:00,BOF-001,1518.75,604.33,1.61,2.63,1.47,415.4
2024-06-01 09:15:00,BOF-001,1575.52,593.07,1.48,3.35,1.45,464.09
2024-06-01 09:30:00,BOF-001,1624.39,594.92,1.94,2.73,1.43,490.05
2024-06-01 09:45:00,BOF-001,1629.75,783.26,1.73,2.69,1.5,450.85
2024-06-01 10:00:00,BOF-001,1723.31,642.09,3.12,3.42,1.34,459.32
2024-06-01 10:15:00,BOF-001,1715.75,579.36,1.8,2.33,1.38,419.19
2024-06-01 10:30:00,BOF-001,1647.16,608.15,0.73,2.46,1.63,427.19
2024-06-01 10:45:00,BOF-001,1511.02,551.46,1.79,3.2,1.59,500.64
2024-06-01 11:00:00,BOF-001,1479.21,624.38,1.73,2.48,1.52,487.0
2024-06-01 11:15:00,BOF-001,1607.61,610.28,1.71,3.78,1.65,454.56
2024-06-01 11:30:00,BOF-001,1583.16,596.91,1.58,2.37,1.54,452.19
2024-06-01 11:45:00,BOF-001,1602.66,535.11,1.9,2.93,1.5,468.3
2024-06-01 12:00:00,BOF-001,1779.76,582.81,2.05,2.48,1.0,418.92
2024-06-01 12:15:00,BOF-001,1601.42,571.82,1.7,3.88,1.47,485.54
2024-06-01 12:30:00,BOF-001,1580.77,572.58,2.17,2.37,1.6,472.66
2024-06-01 12:45:00,BOF-001,1649.72,544.31,0.73,4.15,1.56,265.63
2024-06-01 13:00:00,BOF-001,1608.41,589.03,1.85,3.05,1.7,447.65
2024-06-01 13:15:00,BOF-001,1697.76,654.64,1.93,2.89,1.5,446.79
2024-06-01 13:30:00,BOF-001,1669.64,621.27,2.0,1.75,1.24,436.23
2024-06-01 13:45:00,BOF-001,1798.29,601.59,1.71,4.0,1.54,442.19
2024-06-01 14:00:00,BOF-001,1626.65,616.5,1.91,3.3,1.26,469.92
2024-06-01 14:15:00,BOF-001,1804.48,665.77,2.01,2.27,2.05,458.22
2024-06-01 14:30:00,BOF-001,1705.83,569.98,0.63,2.69,1.59,622.9
2024-06-01 14:45:00,BOF-001,1692.44,576.58,1.8,4.52,1.67,302.14
2024-06-01 15:00:00,BOF-001,1490.93,585.39,1.65,2.53,1.4,486.96
2024-06-01 15:15:00,BOF-001,1478.86,557.53,1.7,2.93,1.54,426.66
2024-06-01 15:30:00,BOF-001,1521.2,609.65,1.73,3.98,1.66,501.41
2024-06-01 15:45:00,BOF-001,1667.09,590.79,1.62,4.5,1.51,480.54
2024-06-01 16:00:00,BOF-001,1710.34,618.72,1.79,3.32,1.44,489.11
2024-06-01 16:15:00,BOF-001,1692.77,624.97,1.87,-0.92,1.68,539.51
2024-06-01 16:30:00,BOF-001,1653.02,639.59,1.89,4.4,1.6,475.77
2024-06-01 16:45:00,BOF-001,1722.27,621.69,1.64,1.94,1.51,400.12
2024-06-01 17:00:00,BOF-001,1745.56,762.07,1.68,3.52,1.35,425.33
2024-06-01 17:15:00,BOF-001,1625.33,584.71,1.97,3.04,1.46,410.39
2024-06-01 17:30:00,BOF-001,1694.65,570.31,1.68,6.27,1.85,492.78
2024-06-01 17:45:00,BOF-001,1680.72,601.4,1.96,2.55,1.33,490.89
2024-06-01 18:00:00,BOF-001,1714.51,610.74,1.65,3.62,1.63,503.85
2024-06-01 18:15:00,BOF-001,1676.21,555.28,1.88,3.87,1.56,473.77
2024-06-01 18:30:00,BOF-001,1671.13,634.72,1.95,3.25,1.43,501.04
2024-06-01 18:45:00,BOF-001,1601.65,600.79,1.27,3.01,1.86,402.35
2024-06-01 19:00:00,BOF-001,1666.45,588.66,1.97,3.61,1.45,448.89
2024-06-01 19:15:00,BOF-001,1622.82,569.54,2.06,1.93,1.4,422.49
2024-06-01 19:30:00,BOF-001,1564.48,642.16,1.74,2.72,1.78,401.36
2024-06-01 19:45:00,BOF-001,1674.0,615.26,1.87,2.62,1.43,503.8
2024-06-01 20:00:00,BOF-001,1568.2,625.88,1.63,2.61,1.47,414.06
2024-06-01 20:15:00,BOF-001,1646.56,596.75,1.87,1.65,1.43,445.35
2024-06-01 20:30:00,BOF-001,1620.7,648.5,2.29,3.56,1.32,464.77
2024-06-01 20:45:00,BOF-001,1605.01,624.71,1.36,3.0,1.38,425.68
2024-06-01 21:00:00,BOF-001,1762.43,482.12,1.7,2.83,1.61,394.53
2024-06-01 21:15:00,BOF-001,1781.06,634.91,1.96,2.73,1.47,454.61
2024-06-01 21:30:00,BOF-001,1300.13,581.31,2.05,0.94,1.54,434.0
2024-06-01 21:45:00,BOF-001,1729.79,606.19,1.52,2.6,1.55,506.54
2024-06-01 22:00:00,BOF-001,1523.48,640.02,1.67,3.54,1.55,459.09
2024-06-01 22:15:00,BOF-001,1555.47,614.67,1.68,2.77,1.43,467.79
2024-06-01 22:30:00,BOF-001,2044.4,570.36,1.67,2.31,1.67,359.56
2024-06-01 22:45:00,BOF-001,1564.67,602.67,1.78,3.36,1.59,464.26
