timestamp,equipment_id,temperature,casting_speed,mold_level,cooling_water_flow,vibration,current
2024-06-01 00:00:00,CC-001,1820.11,1.2,72.34,889.74,1.56,237.07
2024-06-01 00:15:00,CC-001,1545.52,1.06,72.07,836.16,1.85,245.83
2024-06-01 00:30:00,CC-001,1485.41,1.22,76.83,865.82,1.76,222.13
2024-06-01 00:45:00,CC-001,1641.29,1.33,80.22,877.59,2.33,264.15
2024-06-01 01:00:00,CC-001,1522.98,1.26,79.95,863.21,1.53,271.63
2024-06-01 01:15:00,CC-001,1493.38,1.3,74.93,830.13,1.81,259.62
2024-06-01 01:30:00,CC-001,1630.93,1.25,78.57,1143.67,1.45,257.27
2024-06-01 01:45:00,CC-001,1308.45,1.34,72.2,831.0,2.19,280.75
2024-06-01 02:00:00,CC-001,1572.62,1.31,72.32,629.65,3.25,227.29
2024-06-01 02:15:00,CC-001,1430.26,1.5,75.47,843.08,2.05,240.17
2024-06-01 02:30:00,CC-001,1506.0,1.24,75.73,806.66,2.29,202.32
2024-06-01 02:45:00,CC-001,1510.89,1.21,76.09,826.94,1.81,260.43
2024-06-01 03:00:00,CC-001,1524.48,1.08,74.49,875.38,1.52,277.36
2024-06-01 03:15:00,CC-001,1612.59,1.04,75.87,948.26,1.56,249.76
2024-06-01 03:30:00,CC-001,1642.62,1.14,73.64,862.43,1.08,244.84
2024-06-01 03:45:00,CC-001,1611.49,1.38,73.09,864.89,1.07,230.1
2024-06-01 04:00:00,CC-001,1628.27,0.99,75.45,807.2,2.04,260.12
2024-06-01 04:15:00,CC-001,1545.11,1.21,75.08,946.37,1.51,268.29
2024-06-01 04:30:00,CC-001,1458.81,1.3,73.87,827.82,1.4,236.75
2024-06-01 04:45:00,CC-001,1630.44,1.23,76.92,891.08,2.39,241.29
2024-06-01 05:00:00,CC-001,1518.58,1.89,79.55,823.94,1.8,231.98
2024-06-01 05:15:00,CC-001,1582.87,1.39,77.43,849.97,2.11,271.29
2024-06-01 05:30:00,CC-001,1603.54,1.14,76.12,826.06,1.77,260.59
2024-06-01 05:45:00,CC-001,1511.02,0.95,72.17,816.0,1.6,262.68
2024-06-01 06:00:00,CC-001,1622.96,1.06,74.31,883.6,2.61,224.38
2024-06-01 06:15:00,CC-001,1500.62,1.09,77.82,902.01,1.64,253.27
2024-06-01 06:30:00,CC-001,1478.63,1.25,74.21,777.83,1.97,251.6
2024-06-01 06:45:00,CC-001,1634.1,1.04,74.88,900.04,1.78,269.58
2024-06-01 07:00:00,CC-001,1564.34,1.3,76.19,920.81,2.1,246.9
2024-06-01 07:15:00,CC-001,1564.2,1.06,78.64,780.8,2.21,224.55
2024-06-01 07:30:00,CC-001,1492.22,1.18,73.32,764.04,1.55,224.64
2024-06-01 07:45:00,CC-001,1560.8,1.27,77.85,857.44,1.76,280.99
2024-06-01 08:00:00,CC-001,1562.99,0.82,76.63,815.18,1.2,260.94
2024-06-01 08:15:00,CC-001,1521.49,1.24,87.99,891.96,1.74,263.02
2024-06-01 08:30:00,CC-001,1563.28,1.09,67.97,875.65,3.01,247.23
2024-06-01 08:45:00,CC-001,1635.23,1.02,70.52,885.8,2.1,275.89
2024-06-01 09:00:00,CC-001,1667.11,0.73,75.55,862.03,2.35,239.62
2024-06-01 09:15:00,CC-001,1549.17,1.4,76.49,840.46,2.03,200.0
2024-06-01 09:30:00,CC-001,1583.08,1.09,80.65,848.56,1.67,248.51
2024-06-01 09:45:00,CC-001,1508.29,1.02,76.56,810.88,1.76,239.07
2024-06-01 10:00:00,CC-001,1600.56,1.22,73.8,898.21,1.53,275.07
2024-06-01 10:15:00,CC-001,1598.84,1.39,68.45,872.65,1.55,260.56
2024-06-01 10:30:00,CC-001,1518.63,1.29,76.93,859.32,2.18,263.9
2024-06-01 10:45:00,CC-001,1604.66,1.13,72.89,653.44,1.57,231.55
2024-06-01 11:00:00,CC-001,1465.07,1.21,59.64,877.21,1.73,243.14
2024-06-01 11:15:00,CC-001,1629.39,1.61,70.93,870.81,2.04,246.4
2024-06-01 11:30:00,CC-001,1531.94,1.18,77.05,861.3,1.83,242.73
2024-06-01 11:45:00,CC-001,1602.01,1.13,80.29,944.83,1.65,244.14
2024-06-01 12:00:00,CC-001,1842.25,1.54,77.08,889.97,1.47,250.2
2024-06-01 12:15:00,CC-001,1629.57,1.18,74.23,819.65,1.6,296.35
2024-06-01 12:30:00,CC-001,1853.91,1.12,74.76,853.39,1.65,237.51
2024-06-01 12:45:00,CC-001,1523.43,1.2,79.45,792.6,1.67,237.96
2024-06-01 13:00:00,CC-001,1539.29,1.18,76.51,899.71,2.1,264.94
2024-06-01 13:15:00,CC-001,1582.46,1.14,77.06,874.39,2.31,226.46
2024-06-01 13:30:00,CC-001,1644.25,1.07,71.93,777.5,1.27,247.38
2024-06-01 13:45:00,CC-001,1548.43,1.11,70.43,791.46,0.87,255.3
2024-06-01 14:00:00,CC-001,1582.15,1.06,76.51,839.66,2.56,233.07
2024-06-01 14:15:00,CC-001,1529.75,1.3,71.18,864.79,1.89,216.19
2024-06-01 14:30:00,CC-001,1575.98,1.39,70.76,803.37,0.61,269.49
2024-06-01 14:45:00,CC-001,1653.83,1.34,70.38,848.71,2.08,245.01
2024-06-01 15:00:00,CC-001,1505.98,1.32,80.51,876.95,1.39,286.84
2024-06-01 15:15:00,CC-001,1776.95,1.13,72.81,904.77,1.77,238.24
2024-06-01 15:30:00,CC-001,1561.46,1.24,73.09,889.19,2.04,245.39
2024-06-01 15:45:00,CC-001,1612.44,1.09,77.27,834.25,1.92,245.59
2024-06-01 16:00:00,CC-001,1379.35,1.18,73.75,834.94,1.84,231.37
2024-06-01 16:15:00,CC-001,1521.14,1.06,70.92,799.06,1.53,246.43
